symbol,missing_open_time
BTCUSDT,2021-02-11T03:50:00+0000
BTCUSDT,2021-02-11T03:55:00+0000
BTCUSDT,2021-02-11T04:00:00+0000
BTCUSDT,2021-02-11T04:05:00+0000
BTCUSDT,2021-02-11T04:10:00+0000
BTCUSDT,2021-02-11T04:15:00+0000
BTCUSDT,2021-02-11T04:20:00+0000
BTCUSDT,2021-02-11T04:25:00+0000
BTCUSDT,2021-02-11T04:30:00+0000
BTCUSDT,2021-02-11T04:35:00+0000
BTCUSDT,2021-02-11T04:40:00+0000
BTCUSDT,2021-02-11T04:45:00+0000
BTCUSDT,2021-02-11T04:50:00+0000
BTCUSDT,2021-02-11T04:55:00+0000
BTCUSDT,2021-03-06T02:00:00+0000
BTCUSDT,2021-03-06T02:05:00+0000
BTCUSDT,2021-03-06T02:10:00+0000
BTCUSDT,2021-03-06T02:15:00+0000
BTCUSDT,2021-03-06T02:20:00+0000
BTCUSDT,2021-03-06T02:25:00+0000
BTCUSDT,2021-03-06T02:30:00+0000
BTCUSDT,2021-03-06T02:35:00+0000
BTCUSDT,2021-03-06T02:40:00+0000
BTCUSDT,2021-03-06T02:45:00+0000
BTCUSDT,2021-03-06T02:50:00+0000
BTCUSDT,2021-03-06T02:55:00+0000
BTCUSDT,2021-03-06T03:00:00+0000
BTCUSDT,2021-03-06T03:05:00+0000
BTCUSDT,2021-03-06T03:10:00+0000
BTCUSDT,2021-03-06T03:15:00+0000
BTCUSDT,2021-03-06T03:20:00+0000
BTCUSDT,2021-03-06T03:25:00+0000
BTCUSDT,2021-04-20T02:00:00+0000
BTCUSDT,2021-04-20T02:05:00+0000
BTCUSDT,2021-04-20T02:10:00+0000
BTCUSDT,2021-04-20T02:15:00+0000
BTCUSDT,2021-04-20T02:20:00+0000
BTCUSDT,2021-04-20T02:25:00+0000
BTCUSDT,2021-04-20T02:30:00+0000
BTCUSDT,2021-04-20T02:35:00+0000
BTCUSDT,2021-04-20T02:40:00+0000
BTCUSDT,2021-04-20T02:45:00+0000
BTCUSDT,2021-04-20T02:50:00+0000
BTCUSDT,2021-04-20T02:55:00+0000
BTCUSDT,2021-04-20T03:00:00+0000
BTCUSDT,2021-04-20T03:05:00+0000
BTCUSDT,2021-04-20T03:10:00+0000
BTCUSDT,2021-04-20T03:15:00+0000
BTCUSDT,2021-04-20T03:20:00+0000
BTCUSDT,2021-04-20T03:25:00+0000
BTCUSDT,2021-04-20T03:30:00+0000
BTCUSDT,2021-04-20T03:35:00+0000
BTCUSDT,2021-04-20T03:40:00+0000
BTCUSDT,2021-04-20T03:45:00+0000
BTCUSDT,2021-04-20T03:50:00+0000
BTCUSDT,2021-04-20T03:55:00+0000
BTCUSDT,2021-04-20T04:00:00+0000
BTCUSDT,2021-04-20T04:05:00+0000
BTCUSDT,2021-04-20T04:10:00+0000
BTCUSDT,2021-04-20T04:15:00+0000
BTCUSDT,2021-04-20T04:20:00+0000
BTCUSDT,2021-04-20T04:25:00+0000
